title,url,test_type,raw_text,text
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,general,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge on topics related to mobility and mobile computing. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 9 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge on topics related to mobility and mobile computing. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 9 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,general,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 6 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 6 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,general,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The General Ability Screen is a first for us – a measure of general mental ability or ‘g’ . Targeted at ‘entry-level’ roles, General Ability Screen is intended to precede other measures to provide process efficiency, and to ensure candidates experience the most positive possible assessment process, by being quick, fair and available as an online test 24/7/365. As the name suggests, the test is designed to be used in screening or sifting processes Entry-Level, German, French (Canada), English (USA), English International, Latin American Spanish, Dutch, French, Chinese Simplified, Portuguese (Brazil), Turkish, Japanese, Approximate Completion Time in minutes = 10 Test Type: A Remote Testing: Product Fact Sheet English International Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The General Ability Screen is a first for us – a measure of general mental ability or ‘g’ . Targeted at ‘entry-level’ roles, General Ability Screen is intended to precede other measures to provide process efficiency, and to ensure candidates experience the most positive possible assessment process, by being quick, fair and available as an online test 24/7/365. As the name suggests, the test is designed to be used in screening or sifting processes Entry-Level, German, French (Canada), English (USA), English International, Latin American Spanish, Dutch, French, Chinese Simplified, Portuguese (Brazil), Turkish, Japanese, Approximate Completion Time in minutes = 10 Test Type: A Remote Testing: Product Fact Sheet English International Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
"Fast, Simple Technical Skill Assessment",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,technical,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Skills & Simulations Speak With Our Team SHL technical skills assessments helps you to comprehensively evaluate knowledge of 200+ technical concepts through multiple choice questions. These include Cloud Engineering, Data Engineering, DevOps, Data Science, Machine Learning, and more. Programming simulation for machine learning, data science, and data engineering roles. Applied tests for Hadoop, Spark, Tableau, MongoDB, and more. Assess a candidate’s ability to work on front-end, backend, and database technologies such as HTML/CSS, JavaScript, jQuery, AngularJS, MySQL, PHP, and more. Tests of cloud computing, various cloud service models, virtualization, and private clouds. A compiler-integrated platform that evaluates coding skills of developers as they write, compile, and execute the code in real-time. Applied assessment of DBMS and languages, such as SQL, MySQL, SQL Server, and PL/SQL Test of skills to manage technology deployment and monitoring using cloud technologies, web services, systems, and network management. With our platform of pre-configured talent acquisition and talent management solutions, maximize the potential of your company’s greatest asset—your people. See Our Solutions SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Skills & Simulations Speak With Our Team SHL technical skills assessments helps you to comprehensively evaluate knowledge of 200+ technical concepts through multiple choice questions. These include Cloud Engineering, Data Engineering, DevOps, Data Science, Machine Learning, and more. Programming simulation for machine learning, data science, and data engineering roles. Applied tests for Hadoop, Spark, Tableau, MongoDB, and more. Assess a candidate’s ability to work on front-end, backend, and database technologies such as HTML/CSS, JavaScript, jQuery, AngularJS, MySQL, PHP, and more. Tests of cloud computing, various cloud service models, virtualization, and private clouds. A compiler-integrated platform that evaluates coding skills of developers as they write, compile, and execute the code in real-time. Applied assessment of DBMS and languages, such as SQL, MySQL, SQL Server, and PL/SQL Test of skills to manage technology deployment and monitoring using cloud technologies, web services, systems, and network management. With our platform of pre-configured talent acquisition and talent management solutions, maximize the potential of your company’s greatest asset—your people. See Our Solutions SHL and its affiliates. All rights reserved."
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,simulation,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents. Entry-Level, English (USA), Approximate Completion Time in minutes = 35 Test Type: S K Remote Testing: Fact Sheet English (USA) Sample Report English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents. Entry-Level, English (USA), Approximate Completion Time in minutes = 35 Test Type: S K Remote Testing: Fact Sheet English (USA) Sample Report English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,general,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics. Graduate, Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 14 Test Type: K Remote Testing: Product Fact Sheet English (USA) Sample Report English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics. Graduate, Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 14 Test Type: K Remote Testing: Product Fact Sheet English (USA) Sample Report English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,behavioural,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role. Provides targeted assessment results that match individuals with jobs . Links the essential/desirable competencies for a specific job with an individual’s competency potential. Provides an overall Match (or fit) Score useful in ranking/sorting candidates for selection and/or development (e.g. Talent Audit). It provides a highly visual profile of a candidate's strengths and limitations against identified required competencies. Includes a summary table that enables prioritisation of action planning for development of critical competencies for an individual (by tabling Competency Potential against Job Importance for the role). It includes highly descriptive statements about a candidate's strengths and development needs/limitations. The extended report versions include proposed competency-based interview questions to enable probing of specific situations in which the candidate might have demonstrated critical job behaviours. The PJM Report is designed for use by line managers and HR professionals in selection and development situations. It is valuable for identifying an individual's overall fit as well as likely areas of strength and weakness relative to their behaviour at work. In a selection context, this information can be used: For making interviewers aware of the areas that may need further probing. As a basis for suggesting and creating relevant interview questions. For identifying the relative strengths and weaknesses of shortlisted candidates. Mid-Professional, Manager, Italian, English International, English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada), Test Type: A C P Remote Testing: Sample Report English International Sample Report English International Sample Report English International Sample Report English International Sample Report French (Canada) Sample Report Latin American Spanish Sample Report Latin American Spanish Sample Report English (USA) Sample Report English (USA) Sample Report English (USA) Sample Report Chinese Simplified Sample Report Chinese Simplified Sample Report Chinese Simplified Sample Report Italian Sample Report Italian Sample Report Portuguese (Brazil) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role. Provides targeted assessment results that match individuals with jobs . Links the essential/desirable competencies for a specific job with an individual’s competency potential. Provides an overall Match (or fit) Score useful in ranking/sorting candidates for selection and/or development (e.g. Talent Audit). It provides a highly visual profile of a candidate's strengths and limitations against identified required competencies. Includes a summary table that enables prioritisation of action planning for development of critical competencies for an individual (by tabling Competency Potential against Job Importance for the role). It includes highly descriptive statements about a candidate's strengths and development needs/limitations. The extended report versions include proposed competency-based interview questions to enable probing of specific situations in which the candidate might have demonstrated critical job behaviours. The PJM Report is designed for use by line managers and HR professionals in selection and development situations. It is valuable for identifying an individual's overall fit as well as likely areas of strength and weakness relative to their behaviour at work. In a selection context, this information can be used: For making interviewers aware of the areas that may need further probing. As a basis for suggesting and creating relevant interview questions. For identifying the relative strengths and weaknesses of shortlisted candidates. Mid-Professional, Manager, Italian, English International, English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada), Test Type: A C P Remote Testing: Sample Report English International Sample Report English International Sample Report English International Sample Report English International Sample Report French (Canada) Sample Report Latin American Spanish Sample Report Latin American Spanish Sample Report English (USA) Sample Report English (USA) Sample Report English (USA) Sample Report Chinese Simplified Sample Report Chinese Simplified Sample Report Chinese Simplified Sample Report Italian Sample Report Italian Sample Report Portuguese (Brazil) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,technical,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 13 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 13 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,behavioural,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work. Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, English International, English (USA), Chinese Simplified, Test Type: P Remote Testing: Sample Report English International Sample Report English (USA) Sample Report Chinese Simplified Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work. Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, English International, English (USA), Chinese Simplified, Test Type: P Remote Testing: Sample Report English International Sample Report English (USA) Sample Report Chinese Simplified Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,general,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management. Graduate, Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 10 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management. Graduate, Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 10 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,general,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Training Development test measures knowledge of developing and delivering training programs. Designed for experienced trainers, this test covers the following topics: Analysis Methods, Audience Analysis, Design Materials, Design Strategy, Developing Instructional Materials, General Knowledge, Media, Project Management Plan, Purpose of Training, Training Delivery, and Writing Instructional Objectives. Front Line Manager, Manager, English (USA), Approximate Completion Time in minutes = 15 to 35 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Training Development test measures knowledge of developing and delivering training programs. Designed for experienced trainers, this test covers the following topics: Analysis Methods, Audience Analysis, Design Materials, Design Strategy, Developing Instructional Materials, General Knowledge, Media, Project Management Plan, Purpose of Training, Training Delivery, and Writing Instructional Objectives. Front Line Manager, Manager, English (USA), Approximate Completion Time in minutes = 15 to 35 Test Type: K Remote Testing: Product Fact Sheet English (USA) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,general,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 35 Test Type: K Remote Testing: Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management. Mid-Professional, Professional Individual Contributor, English (USA), Approximate Completion Time in minutes = 35 Test Type: K Remote Testing: Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,behavioural,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work. It can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information. Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Portuguese, English International, English (USA), Portuguese (Brazil), French (Canada), Latin American Spanish, Test Type: P S Remote Testing: Sample Report English International Sample Report French (Canada) Sample Report Latin American Spanish Sample Report English (USA) Sample Report Danish Sample Report Dutch Sample Report Finnish Sample Report French Sample Report German Sample Report Italian Sample Report Norwegian Sample Report Portuguese Sample Report Spanish Sample Report Portuguese (Brazil) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work. It can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information. Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Portuguese, English International, English (USA), Portuguese (Brazil), French (Canada), Latin American Spanish, Test Type: P S Remote Testing: Sample Report English International Sample Report French (Canada) Sample Report Latin American Spanish Sample Report English (USA) Sample Report Danish Sample Report Dutch Sample Report Finnish Sample Report French Sample Report German Sample Report Italian Sample Report Norwegian Sample Report Portuguese Sample Report Spanish Sample Report Portuguese (Brazil) Speak to our team today to see how our products transform talent strategy. Book a Demo SHL and its affiliates. All rights reserved."
Go Digital and Deliver a Superior Experience,https://www.shl.com/products/assessments/assessment-and-development-centers/,behavioural,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Speak With Our Team SHL’s end-to-end digital assessment and development centers are the most efficient and accurate way of identifying potential. Our team of 300 people scientists operate in 150 countries, speak over 40 languages, and provide 24-hour support. Effortlessly organize and run your centers with a digital platform that delights participants with interactive media and a clear and engaging end-to-end process. The world’s broadest range of skills, psychometric, personality, and cognitive assessments empower people to show their potential with simulations, group exercises, client meetings, and more. Increase the speed of hiring and development decisions with automated reports and dashboards powered by unrivaled people science. Reduced time-to-hire by 60% across multiple global organizations. SHL's customer shortened time-to-assess for 500 global managers by 75%. 89% of candidates rated SHL’s digital interview experience as ""excellent."" With our platform of pre-configured talent acquisition and talent management solutions, maximize the potential of your company’s greatest asset—your people. See Our Solutions SHL and its affiliates. All rights reserved.","We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Speak With Our Team SHL’s end-to-end digital assessment and development centers are the most efficient and accurate way of identifying potential. Our team of 300 people scientists operate in 150 countries, speak over 40 languages, and provide 24-hour support. Effortlessly organize and run your centers with a digital platform that delights participants with interactive media and a clear and engaging end-to-end process. The world’s broadest range of skills, psychometric, personality, and cognitive assessments empower people to show their potential with simulations, group exercises, client meetings, and more. Increase the speed of hiring and development decisions with automated reports and dashboards powered by unrivaled people science. Reduced time-to-hire by 60% across multiple global organizations. SHL's customer shortened time-to-assess for 500 global managers by 75%. 89% of candidates rated SHL’s digital interview experience as ""excellent."" With our platform of pre-configured talent acquisition and talent management solutions, maximize the potential of your company’s greatest asset—your people. See Our Solutions SHL and its affiliates. All rights reserved."
